,Winery,Address,City,Website,Phone
0,3 Monkeys,P.O. Box 10366,Napa,www.3monkeyswine.com,313-3800
1,4 Bears,1370 Trancas Street #327,St. Helena,www.4bearswinery.com,226-1414
3,12 C Wines,P.O. Box 1251,Rutherford,www.12cwines.com,266-8036
4,13 Appellations,4006 Silverado Trail,Napa,www.13appellations.com,866 484-4783
5,29 Songs,1668 F Street,Napa,www.29songs.com,738-8108
8,Abigail Adams Wine Co,P.O. Box 2200,Yountville,www.abigailadamswines.com,944-1132
9,Abiouness Wine,2041 Olive Avenue St,St. Helena,www.abiounesswines.com,963-1546
10,Abreu Vineyard,2366 Madrona Road,St. Helena,www.abreuvineyards.com,963-7487
11,Acacia Winery,2750 Las Amigas Road,Napa,www.acaciavineyard.com,226-9991
12,Ackerman Family Vineyards,2101 Kirkland Ave,Napa,www.ackermanfamilyvineyards.com,226-6696
13,Adams Ridge Winery,3181 Kingston Avenue ,Napa,www.adamsridgewinery.net,226-3185
14,Adastra Wines,2545 Las Amigas Rd,Napa,www.adastrawines.com,255-4818   
15,Aetna Springs Cellars,7227 Pope Valley Road    ,Pope Valley,www.aetnaspringscellars.com,965-2675          
16,A.Faustini,270 Kruezer Lane,Napa,www.afaustini.com,736-6050
17,Ahnfeldt Wines,P.O. Box 6078,Napa,www.ahnfeldtwines.com,253-1139
18,Alante Vineyard,1156 York Lane,St. Helena,www.alantevineyard.com,967-4100
19,Alex Soltelo Cellars,4154 Burgandy Way,Napa,www.alexsotelocellars.com,224-5920
20,Allora Wines,3244 Elhlers Lane,St. Helena,www.allorawines.com,963-6071
21,Alpha Omega Winery,Hwy 29 at 1155 Mee Lane ,Rutherford,www.aowinery.com,942-0167
22,Altamura Vineyards & Winery,1700 Wooden Valley Road,Napa,www.altamura.com,253-2000 
23,Amazon Ranch,3738 Linda Vista Ave,Napa,www.amazonranch.com,226-1281
24,American Roots Winery,4380 Dale Drive,Napa,www.americanrootswinery.com,225-4686
25,Amethyst Winery,1339 Pearl St. Suite #201,Napa,www.amethystwines.com,265-6733   
26,Amici Cellars,P.O. Box 399,Rutherford,www.amicicellars.com,967-9560
27,Amizetta,1099 Greenfield Rd,St. Helena,www.amizetta.com,963-1460
30,Amuse Bouche,135 Camino Dorado Ste. 8,Napa,www.amusebouchewine.com,251-9700
31,Ancien Wines,4047 E. Third Ave,Napa,www.ancienwines.com,255 - 6104
32,Anderson's Conn Valley,680 Rossi Road,St. Helena,www.connvalleyvineyards.com,800 946-3497
33,Andesite Vineyard,4011 Spring Mountain Road,St. Helena,www.andesitevineyard.com,963-8895
34,Andretti Winery,4162 Big Ranch Road ,Napa,www.andrettiwinery.com,259-6777
35,Andrew Geoffrey Vineyard,836 Chiles Avenue,St. Helena,www.andrewgeoffrey.com,968-9770
36,Andrew Lane Winery,742 Sunnyside Road,St. Helena,www.andrewlanewines.com,815-3501
38,Anomaly Vineyards,P.O. Box 741,St. Helena,www.anomalyvineyards.com,967-8448
39,Antica Napa Valley,3149 Soda Canyon Road,Napa,www.anticanapavalley.com,265-8866
40,Aonair Wine,P.O. Box 6048,Napa,www.aonairwine.com,363-0680
41,Araujo Estate Wines,2155 Pickett Road,Calistoga,www.araujoestate.com,942-6061
42,Ardente Winery,2929 Atlas Peak Road,Napa,www.ardentewinery.com,226-7669
43,Arger-Martucci Vineyards,1455 Inglewood Avenue ,St. Helena,www.arger-martucci.com,963-4334
44,Arete Wines,110 Camino Oruga,Napa,www.aretewinecellars.com,200-1060
45,Arietta,3468 Silverado Trail,Oakville,www.arietta-wine.com,963-5918
46,Arkenstone Winery,335 West Lane,Angwin,www.arkenstonewine.com,888-6549
47,Armstrong Ranch,30 Kortum Canyon Road,Calistoga,www.armstrongranchwines.com,942-4488
48,Arns Winery,P.O. Box 652,St. Helena,www.arnswinery.com,963-3429
49,Arrow & Branch,3003 Hagen Road,Napa,www.arrowandbranch.com,927-3640
50,Artesa Winery,1345 Henry Road ,Napa,www.artesawinery.com,224-1668
51,Ashe Family Vineyards,7688 St. Helena Highway,Oakville,www.ashefamilyvineyards.com,982-8000
52,Astrale e Terra,5017 Silverado Trail,Napa,www.astraleeterra.com,255-1134
53,Atalon Winery,3299 Bennett Lane ,Calistoga,www.atalon.com,800 224-4090
54,Atlas Peak,3700 Soda Canyon Road ,Napa,www.atlaspeak.com,252-7971
55,Au Sommet,135 Camino Dorado,Napa,www.ausommetwine.com,251-9300
56,Aubert Wines,333 Silverado Trail,Calistoga,www.aubertwines.com,963-4569
57,August Briggs,1307-B Lincoln Avenue,Calistoga,www.augustbriggswines.com,942-4912
58,Aum Cellars,P.O. Box 774,Napa,www.aumcellars.com,266-8803
60,Autumn Moon Cellars,3310 Scenic Drive,Napa,www.autumnmooncellars.com,226-1866
61,Axios,9198 Red Branch Rd. St. H,Columbia MD,www.axioswine.com,410 309-9463
62,Azalea Springs,4301 Azalea Springs Way,Calistoga,www.azaleasprings.com,942-4811
63,Azur Wines,2537 Main Street,Napa,www.azurwines.com,812-4203
64,B. Kosuge Wines,P.O. Box 5413,Napa,www.bkosugewines.com,738-8396
65,B Cellars,400 Silverado Trail,Calistoga,www.bcellars.com,709-8787
66,Bacio-Divino,P.O. Box 131,Rutherford,www.baciodivino.com,942-8101
68,Baldacci Vineyards,6236 Silverado Trail,Yountville,www.baldaccivineyards.com,944-9261
69,Ballentine Vineyards,2820 St. Helena Highway N,St. Helena,www.ballentinevineyards.com,963-7919
70,Banknote Wines,P.O. Box 2535,Napa,www.banknotewines.com,815-8453
71,Barbour Vineyards,975 Vintage Ave Ste. D,St. Helena,www.barbourvineyards.com,963-0540
72,Bardessono Vineyards,1901 Finnell Road,Yountville,www.bardessonovineyards.com,815-2502
73,Barlow Vineyards,4411 Silverado Trail ,Calistoga,www.barlowvineyards.com,942-8742
74,Barnett Vineyards,4070 Spring Mountain Road ,St. Helena,www.barnettvineyards.com,963-7075
76,Bartalotti Wine Company,P.O. Box 6992,Napa,www.bartalotti.com,927-4122
77,Baxter,P.O. Box 4261,St. Helena,www.baxterwinery.com,963-0121
78,Beau Vigne,P.O. Box 6412,Napa,www.beauvigne.com,265-7781
79,Beaucanon Estate,1006 Monticello Road,Napa,www.beaucanonestate.com,254-1460
80,Beaulieu Vineyard (BV),1960 St. Helena Highway ,Rutherford,www.bvwines.com,967-5230
81,Bell Wine Cellars,6200 Washington Street,Yountville,www.bellwine.com,944-1673 
82,Bella Vetta Vineyards,896 Ponderosa Drive,Angwin,www.bellavetta.com,965-0801
83,Bello Family Vineyards,8424 St. Helena Highway,Rutherford,www.bellofamilyvineyards.com,967-8833
84,Belo Wine Co,P.O. Box 175,St. Helena,www.belowine.com,967-9661
85,Benessere Vineyards,1010 Big Tree Road,St. Helena,www.benesserevineyards.com,963-5853
86,Bennett Lane Winery,3340 Highway 128 ,Calistoga,www.bennettlane.com,942-6684
87,Beringer,2000 Main St ,St. Helena,www.beringer.com,967-4412
88,Bettinelli Vineyards,1241 Adams St #1029,St. Helena,www.bettinelli.com,480-1935
89,Bevan Cellars,3900 Matanzas Creek Ln,Santa Rosa,www.bevancellars.com,332-2918
91,Bialla Vineyards,4088 Atlas Peak Road,Napa,www.biallavineyards.com,415 606-6629
92,Bighorn Cellars,3105 Silverado Trail,Napa,www.bighorncellars.com,226-8569
93,Black Cat Vineyard,1075 Shadybrook Lane,Napa,www.blackcatvineyard.com,321-0866
94,Black Cordon Vineyard,4155 Dry Creek Road,Napa,www.blackcordonvineyard.com,226-6860
95,Black Coyote Chateau,2400 Third Street,Napa,www.blackcoyotewines.com,252-2292
96,Black Sears Winery,2615 Summit Lake Drive,Angwin,www.blacksears.com,963-1334
97,Black Stallion,4089 Silverado Trail,Napa,www.blackstallionwinery.com,253-1400
98,Blackbird Vineyards,5033 Big Ranch Road,Napa,www.blackbirdvineyards.com,252-4444
99,Blankiet Estate,P.O. Box 2100,Yountville,www.blankiet.com,963-2001
100,Blue Hall Vineyard,White Cottage Lane,Angwin,www.bluehallvineyard.com,888 700-4114
101,Boeschen Vineyards,3242 Silverado Trail,St. Helena,www.boeschenvineyards.com,963-3674
102,Bolen Vineyards,3277 Dry Creek Road,Napa,www.bolenlegacy.com,812-4908
104,Bond Estates,P.O. Box 4261,Oakville,www.bondestates.com,944-9445
105,Boodeaux Vineyards,1965 Capell Valley Road,Napa,http://boodeaux.blogspot.com/,258-8687
106,Bouchaine Vineyards,1075 Buchli Station Road ,Napa,www.bouchaine.com,252-9065
107,Bounty Hunter,975 First Street,Napa,www.bountyhunterwine.com,252-5454
108,Bourassa Winery,190 Camino Oruga Ste. 5,Napa,www.bourassavineyards.com,800 499-2366
109,Boyanci Wines,135 Camino Dorado Suite 12,Napa,www.boyanciwine.com,255-7800
110,Boyd Family Vineyards,4042 Big Ranch Road,Napa,www.boydwine.com,254-7353
112,Bravante Vineyards,330 Stone Ridge Road,Angwin,www.bravantevineyards.com,972-1114
113,Breckenridge Wine Co,P.O. Box 123,St. Helena,www.breckenridgewines.com,963-7761
114,Bremer Family,975 Deer Park Road ,St. Helena,www.bremerfamilywinery.com,963-5411
115,Bressler Vineyards,1891 Vallejo Street,St. Helena,www.bresslervineyards.com,963-2903
116,Brick Angel,238 Manzanita Lane,Napa,http://brickangel.googlepages.com,966-2822
117,Bridesmade Wines,P.O. Box 812,Rutherford,www.bridesmaidwines.com,963-2705
118,Broman Cellars,945 Deer Park Road,St. Helena,www.bromancellars.com,800 514-4401
119,Brookdale Vineyards,4006 Silverado Trail,Napa,www.brookdalewine.com,258-1454
120,Brookman Cellars,P.O. Box 1021,St. Helena,www.brookmancellars.com,266-8525
121,Brown Estate,3233 Sage Canyon Road,St. Helena,www.brownestate.com,963-2435
122,Bryant Family,1567 Sage Canyon Road,St. Helena,www.bryantwines.com,963-0483
123,Buccella,P.O. Box 3838,Oakville,www.buccellawines.com,944-1000
124,Buehler Vineyards,820 Greenfield Road ,St. Helena,www.buehlervineyards.com,963-2155 
125,Buoncristiani Family,P.O. Box 6946,Napa,www.buonwine.com,259-1681
126,Burgess Cellars,1108 Deer Park Road ,St. Helena,www.burgesscellars.com,963-4766
127,Burly Cellars,4446 Stillson St,Napa,www.burlywine.com,299-7085
128,Ca' Momi Wines,2515 Napa Valley Corp. Dr,Napa,www.camomiwines.com,252-6664
129,C Beck Wine,1136 Edwards Street,St. Helena,www.cbeckwines.com,967-9776
130,Cade Mountain Winery,360 Howell Mountain Road,Angwin,www.cadewinery.com ,945-1220
131,Cafaro Cellars,Winery Address N/A,St. Helena,www.cafaro.com,963-7181
132,Cain,3800 Langtry Road ,St. Helena,www.cainfive.com,963-1616
133,Cakebread,8300 St. Helena Highway ,Rutherford,www.cakebread.com,963-5222
134,Calafia Cellars,629 Fulton Lane,St. Helena,www.calafiacellars.com,963-0114
135,Caldwell Cave Winery,270 Kruezer Lane,Napa,www.caldwellvineyard.com,255-1294
136,Cali 351,Silverado Trail,Calistoga,www.cali351.com,631-5161
137,Calistoga Cellars,Main Street,St. Helena,www.calistogacellars.com,942-7422
139,Canard Vineyard,1016 Dunaweal Lane,Calistoga,www.canardvineyard.com,942-1149
140,Cardinale Estate,7600 St. Helena Highway ,Oakville,www.cardinale.com ,948-2643 
141,Carneros Della Notte,720 Airpark Road,Napa,www.carnerosdellanotte.com,495-2464
142,Carrefour Vineyards,1180 Monticello Road,Napa,www.carrefourvineyards.com,252-9167
143,Carter Cellars,1170 Tubbs Lane,Calistoga,www.cartercellars.com,445-0311
144,Cartlidge and Browne,205 Jim Oswald Way #B,A. Canyon,www.cartlidgebrowne.com,800 799-8055
145,Carver Sutro,3106 Palisades Ave,Calistoga,www.carversutro.com,942-1029
